"Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","20200324","imported_sum","volume","risk"
"Cote d'Ivoire","CIV",1800000,1965000,NA,NA,7445,10094,7,1,8,0,1557.18281424798,1715.53133212649,76.8473867924528,78.8340534591195,1688329734,148931254.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,73,0,3511,0.0259787557263696
"Cameroon","CMR",1081000,1081000,NA,NA,8219,9802,1,1,2,0,1421.58749243688,1533.74213975885,51.9685325040723,53.3439889149796,1119339062.88,435500444.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,66,0,2734,0.0202295409159483
"Congo, Dem. Rep.","COD",NA,NA,NA,NA,5007,5464,NA,NA,NA,NA,467.07423746489,561.777182390425,35.9051472177499,37.0825923557045,968123323,3268834762.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0,5248,0.0388312475226397
"Congo, Rep.","COG",149000,156000,6518,6517,13444,17339,1,0,1,0,1702.571349341,2147.76946104594,14.9654524158126,15.3568462664715,390540893.7,3670581291.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1500,0.0110988702903886
"Colombia","COL",3631000,3904000,14493,15664,40062,40165,21,21,42,0,6375.93206285311,6667.7906995498,44.0748679585399,44.7487021180712,8570845488.8,2049266376.03,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93,378,0,3204,0.0237071869402701
"Comoros","COM",28000,35900,NA,NA,1639,1704,NA,NA,NA,NA,1320.54186667961,1415.26362231562,437.341200057394,447.244477540227,64036996,36095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0.00131706594112612
"Cabo Verde","CPV",668000,710000,NA,NA,840,873,NA,NA,NA,NA,3292.6457550859,3635.40684982339,133.373945409429,134.929776674938,52914894.96,143117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,276,0.00204219213343151
"Costa Rica","CRI",2960000,3017000,13612,15249,7388,7842,42,20,62,0,11752.5434010771,12027.3658826316,96.9438699569134,97.9130630630631,1468897791,785115162.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,177,0,1047,0.00774701146269126
"Caribbean small states","CSS",6870000,7351483.61650485,NA,NA,NA,NA,NA,NA,NA,NA,9515.00723984743,9991.01614896676,18.0683957021119,18.1770161788317,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuba","CUB",4594000,4684000,43322,49781,4595,5849,27,15,42,0,8541.2106734664,8821.81889125004,109.010373005191,108.999596231494,1349976093,382956793.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,48,0,3649,0.0269998517930854
"Curacao","CUW",399000,432000,NA,NA,NA,NA,NA,NA,NA,NA,19457.5315232205,19567.8924351055,360.754504504505,360.754504504505,73682457,47172.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0.000554943514519431
"Cayman Islands","CYM",418000,463000,250,230,35,33,NA,NA,NA,NA,81124.5134794821,81124.5134794821,264.091666666667,267.391666666667,11492686,2902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5.17947280218136e-05
"Cyprus","CYP",3652000,3939000,8351,9460,3588,3801,32,23,55,0,25760.7627043417,28159.3016999455,127.670995670996,128.708333333333,307730962.7,67991467.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,124,0,2514,0.0186017066066913
"Czech Republic","CZE",10160000,10611000,489845,617935,34571,33367,170,257,427,1,20379.8960396417,23078.5734865691,137.198109298109,137.602887852888,18653432249.5,2833340226.1,0,0,0,0,0,0,0,0,0,0,0,0,8,19,464,1394,5,29040,0.214874128821924
"Germany","DEU",37452000,38881000,1555661,1591555,634053,643074,5820,6077,11897,1,44240.0441099604,47603.0276328757,236.595494618731,237.3709697733,106415862255.71,95110633029.97,0,0,0,0,10,12,12,13,14,16,16,16,262,799,12327,32986,4,234904,1.7381126844623
"Djibouti","DJI",NA,NA,NA,NA,1369,1600,NA,NA,NA,NA,2930.70317165342,3082.54309871957,40.7289473684211,41.3684210526316,2164191704,7650.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1602,0.011853593470135
"Dominica","DMA",72000,63000,652,755,1092,1041,NA,NA,NA,NA,7274.72133332918,7691.34509727878,95.2773333333333,95.5,33722922,700710.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,313,0.00231596426726109
"Denmark","DNK",12426000,12749000,103728,109392,70239,70023,110,120,230,1,57141.0598350413,61350.3479093986,137.294117647059,138.067301738509,6102945245.32,4157154655.84,0,0,0,0,0,0,0,0,0,0,0,0,11,24,1116,1718,0,26195,0.193823271504487
"Dominican Republic","DOM",6188000,6569000,2782,3859,4033,4587,6,5,11,0,7609.34549150864,8050.63160184635,217.618112192093,219.97857586421,2211223052.62,142131961.89,0,0,0,0,0,0,0,0,0,0,0,0,1,2,21,312,0,0,0
"Algeria","DZA",2451000,2657000,39929,47142,26531,26961,21,31,52,1,4044.29837226523,4114.71506136896,17.3777146120063,17.7300750711665,7702756989.3,674946179.39,0,0,0,0,0,0,0,0,0,0,0,0,12,17,74,264,0,7887,0.0583578599868634
"East Asia & Pacific (excluding high income)","EAP",172249012.627771,183241430.249313,NA,NA,NA,NA,NA,NA,NA,NA,7084.10673246121,7822.8548040433,129.962337637855,130.810431457567,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Early-demographic dividend","EAR",246442870.180975,275587369.477646,NA,NA,NA,NA,NA,NA,NA,NA,3546.85383658415,3581.89016033881,96.8712264454453,98.13836364042,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"East Asia & Pacific","EAS",300522331.533074,320268446.7445,NA,NA,NA,NA,NA,NA,NA,NA,10341.5809526318,11142.5912256168,94.8569852295584,95.4316055341949,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Europe & Central Asia (excluding high income)","ECA",138432257.273286,155252576.801956,NA,NA,NA,NA,NA,NA,NA,NA,7995.38785309146,8163.51710520999,18.3762584657061,18.4773754089394,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Europe & Central Asia","ECS",675130478.961509,712592479.690818,NA,NA,NA,NA,NA,NA,NA,NA,23543.0680217151,25107.2744154631,33.360654942256,33.4968853034031,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ecuador","ECU",1806000,2535000,30147,26113,11513,14254,13,14,27,0,6213.50127649921,6344.87197850057,67.5848002899018,68.7886817522951,3631587401.56,790167092.69,0,0,0,0,0,0,0,0,0,0,0,0,10,13,111,1082,0,2802,0.0207326897024459
"Egypt, Arab Rep.","EGY",8157000,11196000,287260,234747,83509,85556,1486,977,2463,0,2440.51017311107,2549.13225178609,96.8834125269978,98.8734692852479,8050670487.41,1191907595.07,0,0,0,0,0,0,0,0,0,1,1,1,2,15,196,402,5,57516,0.425575082414661
"Euro area","EMU",397086000,413959200,NA,NA,NA,NA,NA,NA,NA,NA,36997.7270415804,39927.6175863294,127.35128601435,127.582277673283,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eritrea","ERI",NA,NA,NA,NA,836,846,NA,NA,NA,NA,NA,NA,NA,NA,42817852,160750962.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,246,0.00182021472762373
