"","Country.Name","Country.Code","tour_arr_2017","tour_arr_2018","sum_2017","sum_2018","cn_arr_2017","cn_arr_2018","201801","201802","sum","hot_travel","gdp_2017","gdp_2018","dense_2017","dense_2018","export","import","20200122","20200123","20200124","20200126","20200202","20200205","20200206","20200207","20200210","20200217","20200219","20200221","20200304","20200307","20200318","imported_sum","tour_popu_2017","tour_popu_2018","cn_tour_dense","tw_exposed"
"31","North Macedonia","MKD",631000,707000,9435,13724,3229,3476,6,0,6,1,5417.64201944282,6083.71894832148,82.5533703409992,82.5915146708961,433863259.59,73862909.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12664,17200,208.253839011636,0.0288109934898475
"32","Malta","MLT",2274000,2599000,NA,NA,2017,2239,14,22,36,1,27283.5447293274,30098.2833099975,1462.496875,1511.03125,672972662,408097387.05,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,NA,NA,NA,NA
"33","Netherlands","NLD",17924000,18780000,312000,285000,193960,196183,3892,5229,9121,1,48554.9922761756,53024.0592130531,508.497951914515,511.457910359157,50427106484.12,11923378190.5,0,0,0,0,0,0,0,0,0,0,0,0,38,188,2058,2,505960,481183,940.806643624111,9.69487201415235
"34","Norway","NOR",6252000,5688000,375738,255826,39065,38743,258,396,654,1,75496.7540581998,81697.2459836768,14.4525759458847,14.5549195374975,7960401157.33,2976734106,0,0,0,0,0,0,0,0,0,0,0,0,56,147,1550,0,414803,294569,20238.4492226913,0.0323147289006086
"35","Poland","POL",18258000,19622000,138000,158000,90511,95338,193,244,437,1,13856.9823892845,15420.9111634295,124.0237303635,124.035886214442,24823465418.16,2608592415.54,0,0,0,0,0,0,0,0,0,0,0,0,1,5,251,0,228511,253338,2042.45728983636,0.213957962389026
"36","Portugal","PRT",15432000,16186000,277628,324902,56259,56314,356,707,1063,1,21437.3475036794,23407.9065887968,112.441821058412,112.23945350807,2398268389.04,1442605347.38,0,0,0,0,0,0,0,0,0,0,0,0,5,20,448,0,333887,381216,3396.45274531376,0.312973587360128
"37","Romania","ROU",10926000,11720000,35929,41625,48740,45630,29,10,39,1,10807.6844848917,12301.1864034302,85.1333927329624,84.6398470097357,4253840645.57,1337430259.24,0,0,0,0,0,0,0,0,0,0,0,0,4,9,260,0,84669,87255,1030.89742104524,0.037831116077929
"38","Russian Federation","RUS",24390000,24551000,1478212,1690186,2344646,2414301,199,264,463,1,10750.5871197198,11288.8724435206,8.82322079860193,8.82207955488442,43022512439.8,39191599161.12,0,0,0,0,2,2,2,2,2,2,2,2,3,13,147,0,3822858,4104487,465251.642140034,0.000995160377877061
"39","Slovak Republic","SVK",2162000,2256000,61346,66961,14202,14743,4,1,5,1,17510.0889889901,19442.7057620693,113.128785357737,113.290578202995,4926564981.04,2075087951.45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,0,75548,81704,721.189716708852,0.0069329884829993
"40","Slovenia","SVN",3991000,4425000,69549,87171,7503,7972,12,43,55,1,23442.704281871,26123.9738694646,102.59100635951,102.639859503382,1965488641.66,403161863.11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,275,0,77052,95143,926.959569706592,0.0593337636261839
"41","Sweden","SWE",7054000,7440000,183203,172989,111758,109991,479,765,1244,1,53744.4290321437,54608.3602546906,24.6929807763129,25.0010434312931,6973680520.24,7140779784.07,0,0,0,0,1,1,1,1,1,1,1,1,35,161,1279,0,294961,282980,11318.7275874175,0.1099063468391
"42","Turkey","TUR",37601000,45768000,593312,1027672,75451,74409,4535,5533,10068,1,10513.6484152661,9370.1763438282,105.377768538129,106.960128893104,22829951278.97,3151518129.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,13,668763,1102081,10303.6618542356,0.977128339655407
"43","Ukraine","UKR",14230000,14104000,29561,41061,171766,180725,8,5,13,1,2640.67567655839,3095.17358053586,77.389796129745,77.0296673514129,5527517061.3,2014343096.68,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,0,201327,221786,2879.22832365616,0.00451509867876407
